,date,arrivals,month,year,period,usd_lkr,inflation,rainfall,temperature,peace_index
0,2014-01-01,146575.0,January,2014,Pre-Covid,130.71,4.2,78,27.2,1.974
1,2014-02-01,141878.0,February,2014,Pre-Covid,130.8,3.9,52,27.8,1.974
2,2014-03-01,133048.0,March,2014,Pre-Covid,130.63,4.0,112,28.5,1.974
3,2014-04-01,112631.0,April,2014,Pre-Covid,130.62,3.5,238,28.2,1.974
4,2014-05-01,90046.0,May,2014,Pre-Covid,130.43,3.2,310,27.8,1.974
5,2014-06-01,103175.0,June,2014,Pre-Covid,130.27,3.3,185,27.2,1.974
6,2014-07-01,133971.0,July,2014,Pre-Covid,130.23,3.5,120,27.0,1.974
7,2014-08-01,140319.0,August,2014,Pre-Covid,130.19,2.9,108,27.1,1.974
8,2014-09-01,105535.0,September,2014,Pre-Covid,130.24,2.7,195,27.3,1.974
9,2014-10-01,121576.0,October,2014,Pre-Covid,130.56,2.5,348,27.2,1.974
10,2014-11-01,119727.0,November,2014,Pre-Covid,130.96,2.1,302,27.0,1.974
11,2014-12-01,178672.0,December,2014,Pre-Covid,131.19,2.1,148,26.9,1.974
12,2015-01-01,156246.0,January,2015,Pre-Covid,131.62,1.4,65,27.3,1.973
13,2015-02-01,165541.0,February,2015,Pre-Covid,132.79,0.9,48,27.9,1.973
14,2015-03-01,157051.0,March,2015,Pre-Covid,132.99,0.9,98,28.6,1.973
15,2015-04-01,122217.0,April,2015,Pre-Covid,132.9,1.4,215,28.3,1.973
16,2015-05-01,113529.0,May,2015,Pre-Covid,133.47,1.5,290,27.9,1.973
17,2015-06-01,115467.0,June,2015,Pre-Covid,133.97,1.7,162,27.3,1.973
18,2015-07-01,175804.0,July,2015,Pre-Covid,133.68,2.1,105,27.1,1.973
19,2015-08-01,166610.0,August,2015,Pre-Covid,133.94,2.0,90,27.2,1.973
20,2015-09-01,143374.0,September,2015,Pre-Covid,139.07,0.9,175,27.4,1.973
21,2015-10-01,132280.0,October,2015,Pre-Covid,140.77,1.2,280,27.3,1.973
22,2015-11-01,144147.0,November,2015,Pre-Covid,142.04,2.9,265,27.2,1.973
23,2015-12-01,206114.0,December,2015,Pre-Covid,143.25,2.8,182,27.1,1.973
24,2016-01-01,194280.0,January,2016,Pre-Covid,144.05,3.8,110,27.1,2.058
25,2016-02-01,197697.0,February,2016,Pre-Covid,144.08,4.2,72,27.7,2.058
26,2016-03-01,192841.0,March,2016,Pre-Covid,145.47,5.1,125,28.4,2.058
27,2016-04-01,136367.0,April,2016,Pre-Covid,145.56,5.3,265,28.1,2.058
28,2016-05-01,125044.0,May,2016,Pre-Covid,146.4,5.5,380,27.7,2.058
29,2016-06-01,118038.0,June,2016,Pre-Covid,146.14,5.6,215,27.2,2.058
30,2016-07-01,209351.0,July,2016,Pre-Covid,145.83,5.4,140,27.0,2.058
31,2016-08-01,186288.0,August,2016,Pre-Covid,145.56,4.4,118,27.1,2.058
