Date,Actual_Arrivals,Predicted_Arrivals
2024-01-01,208253.0,157723.30641087
2024-02-01,218350.0,189465.17512332037
2024-03-01,209181.0,191871.83641857002
2024-04-01,148867.0,144367.9017737178
2024-05-01,112128.0,84058.25915326773
2024-06-01,113470.0,109197.51505409424
2024-07-01,187810.0,201554.48707309068
2024-08-01,164609.0,184645.54696704075
2024-09-01,122140.0,133636.6575376554
2024-10-01,135907.0,113261.00122474598
2024-11-01,184158.0,114090.12173699221
2024-12-01,248592.0,202685.74087697425
2025-01-01,252761.0,195676.5348928845
2025-02-01,240217.0,209915.285535349
2025-03-01,229298.0,199352.00560349572
2025-04-01,174608.0,160531.53246705333
2025-05-01,132919.0,114581.68589400129
2025-06-01,138241.0,133920.61033716222
2025-07-01,200244.0,208092.54462380847
2025-08-01,198235.0,198198.58577709162
2025-09-01,158971.0,146200.62226137446
2025-10-01,165193.0,142062.95777407353
2025-11-01,212906.0,145852.14499648847
2025-12-01,258928.0,212002.18290084408
