Date,Predicted_Arrivals,Lower_Bound,Upper_Bound
2026-01-01,308883.5791565216,282064.7698561059,336183.48182297806
2026-02-01,329749.47390261956,303312.34990439727,355967.5829738005
2026-03-01,266473.8131452735,240212.14919981168,293270.1059986221
2026-04-01,115066.78681933814,88557.71666967853,141043.5648700721
2026-05-01,13498.456700000097,-13703.450885287793,39913.75090526576
2026-06-01,75988.29825320278,49336.21797958974,100680.83546798065
2026-07-01,137661.77171950316,112075.64062565337,165667.4102694388
2026-08-01,132947.5750453876,106120.27269828279,160445.2506047824
2026-09-01,106706.43369349229,80525.62841697503,132832.84433039415
2026-10-01,32385.8784957521,6005.294010160541,58033.8417683933
2026-11-01,109799.50752681705,84068.0341223549,136009.44910559573
2026-12-01,237409.72071117477,212579.71847447372,264250.26264893723
