Country,Region,GPI_2014_Score,GPI_2014_Rank,GPI_2015_Score,GPI_2015_Rank,GPI_2016_Score,GPI_2016_Rank,GPI_2017_Score,GPI_2017_Rank,GPI_2018_Score,GPI_2018_Rank,GPI_2019_Score,GPI_2019_Rank,GPI_2020_Score,GPI_2020_Rank,GPI_2021_Score,GPI_2021_Rank,GPI_2022_Score,GPI_2022_Rank,GPI_2023_Score,GPI_2023_Rank,GPI_2024_Score,GPI_2024_Rank,GPI_2025_Score,GPI_2025_Rank
Iceland,Europe,1.189,1,1.148,1,1.192,1,1.111,1,1.113,1,1.072,1,1.078,1,1.1,1,1.107,1,1.124,1,1.112,1,1.095,1
Ireland,Europe,1.244,4,1.221,5,1.249,4,1.36,11,1.339,10,1.387,11,1.298,7,1.288,7,1.356,8,1.312,6,1.295,2,1.26,2
New Zealand,Europe,1.239,3,1.221,4,1.24,3,1.241,2,1.253,2,1.221,2,1.221,2,1.253,2,1.269,3,1.347,4,1.285,4,1.282,3
Austria,Europe,1.2,2,1.198,3,1.278,5,1.265,3,1.274,3,1.291,5,1.275,4,1.317,5,1.3,4,1.251,4,1.279,3,1.294,4
Switzerland,Europe,1.257,5,1.274,9,1.28,6,1.29,9,1.258,8,1.323,6,1.254,8,1.323,9,1.357,9,1.357,10,1.281,5,1.294,5
Singapore,Asia-Pacific,1.311,9,1.29,10,1.383,19,1.36,10,1.278,9,1.347,12,1.333,9,1.347,9,1.326,9,1.337,6,1.29,5,1.357,6
Portugal,Europe,1.425,18,1.344,16,1.356,14,1.258,3,1.272,7,1.274,4,1.247,3,1.267,6,1.301,6,1.25,5,1.372,7,1.371,7
Denmark,Europe,1.265,7,1.15,2,1.246,3,1.359,10,1.353,12,1.316,6,1.335,5,1.256,3,1.302,5,1.296,7,1.3,6,1.393,8
Slovenia,Europe,1.304,9,1.271,8,1.273,5,1.274,5,1.265,5,1.288,8,1.296,7,1.315,7,1.31,7,1.304,8,1.355,10,1.409,9
Finland,Europe,1.265,7,1.26,6,1.273,5,1.274,5,1.265,5,1.288,8,1.286,11,1.264,4,1.372,12,1.299,10,1.321,8,1.42,10
Czech Republic,Europe,1.36,12,1.36,13,1.36,12,1.319,6,1.319,7,1.33,9,1.316,9,1.329,9,1.318,9,1.307,9,1.347,9,1.431,11
Japan,Asia-Pacific,1.27,8,1.275,8,1.395,9,1.391,14,1.399,9,1.391,9,1.339,9,1.36,9,1.336,10,1.336,9,1.319,9,1.432,12
Malaysia,Asia-Pacific,1.588,19,1.622,28,1.609,28,1.58,29,1.606,29,1.552,26,1.591,27,1.588,27,1.607,27,1.622,32,1.669,34,1.482,13
Canada,North America,1.287,7,1.317,8,1.317,8,1.388,8,1.408,6,1.395,6,1.418,6,1.33,6,1.389,6,1.38,12,1.423,12,1.517,14
Netherlands,Europe,1.363,14,1.423,23,1.458,21,1.47,21,1.46,17,1.423,13,1.436,11,1.449,14,1.463,16,1.489,16,1.498,14,1.518,15
Belgium,Europe,1.369,16,1.477,27,1.477,27,1.559,28,1.512,18,1.476,17,1.479,16,1.508,18,1.495,18,1.535,17,1.521,18,1.524,16
Hungary,Europe,1.389,19,1.365,16,1.423,20,1.4,17,1.508,13,1.454,14,1.502,15,1.533,17,1.492,14,1.479,14,1.535,17,1.524,17
Australia,Asia-Pacific,1.329,11,1.371,9,1.369,9,1.329,10,1.396,11,1.401,14,1.401,14,1.379,16,1.399,14,1.427,14,1.388,14,1.538,18
Croatia,Europe,1.502,22,1.462,22,1.389,19,1.332,12,1.348,12,1.354,16,1.435,18,1.451,18,1.449,18,1.406,18,1.468,18,1.539,19
Germany,Europe,1.473,21,1.473,16,1.428,16,1.457,16,1.472,16,1.448,17,1.488,16,1.488,16,1.494,16,1.527,17,1.555,17,1.557,20
Bhutan,Asia-Pacific,1.457,14,1.481,11,1.496,13,1.496,13,1.536,15,1.536,15,1.536,15,1.536,15,1.554,21,1.529,15,1.552,21,1.563,21
Latvia,Europe,1.579,29,1.56,25,1.564,25,1.558,26,1.576,26,1.566,22,1.567,25,1.553,22,1.597,25,1.569,23,1.573,23,1.567,22
Lithuania,Europe,1.533,26,1.557,25,1.552,25,1.555,25,1.562,22,1.554,22,1.554,22,1.555,22,1.569,22,1.562,22,1.563,22,1.579,23
Estonia,Europe,1.599,29,1.565,25,1.565,25,1.568,25,1.573,24,1.567,23,1.564,23,1.565,23,1.565,23,1.579,24,1.594,24,1.583,24
Spain,Europe,1.462,23,1.449,22,1.449,22,1.465,19,1.475,19,1.539,23,1.539,23,1.549,24,1.549,25,1.596,25,1.607,26,1.617,25
Mauritius,Africa,1.544,27,1.59,28,1.576,28,1.614,28,1.621,28,1.614,28,1.621,29,1.634,29,1.648,29,1.645,28,1.648,28,1.637,26
Qatar,Middle East,1.775,10,1.741,9,1.729,9,1.769,9,1.728,31,1.762,31,1.703,31,1.637,31,1.708,31,1.694,31,1.7,31,1.65,27
Slovak Republic,Europe,1.382,25,1.397,25,1.408,25,1.456,25,1.479,25,1.481,25,1.496,25,1.522,25,1.533,25,1.53,25,1.545,25,1.667,28
Bulgaria,Europe,1.477,29,1.478,29,1.517,29,1.521,29,1.538,29,1.57,29,1.584,30,1.573,29,1.578,29,1.57,28,1.6,29,1.668,29
United Kingdom,Europe,1.562,45,1.483,39,1.529,40,1.57,41,1.657,45,1.652,45,1.66,43,1.63,32,1.643,34,1.668,37,1.643,33,1.634,30
Kuwait,Middle East,1.841,35,1.774,35,1.741,35,1.825,35,1.822,35,1.85,35,1.807,35,1.8,35,1.79,35,1.79,38,1.775,38,1.657,31
Norway,Europe,1.344,11,1.258,8,1.286,8,1.383,8,1.383,11,1.339,11,1.382,17,1.356,17,1.357,17,1.356,17,1.373,17,1.671,32
Italy,Europe,1.73,38,1.74,38,1.724,38,1.759,38,1.755,38,1.694,38,1.741,38,1.69,38,1.714,38,1.714,40,1.758,40,1.675,33
Montenegro,Europe,1.621,35,1.63,35,1.623,35,1.622,35,1.63,35,1.655,35,1.641,35,1.646,35,1.643,35,1.648,35,1.633,35,1.679,34
Sweden,Europe,1.287,10,1.324,12,1.401,19,1.445,19,1.445,17,1.453,17,1.489,17,1.489,18,1.544,22,1.544,24,1.557,22,1.68,35
Poland,Europe,1.551,31,1.571,29,1.571,29,1.586,29,1.564,24,1.588,29,1.578,24,1.573,28,1.703,30,1.653,29,1.624,30,1.7,36
Mongolia,Asia-Pacific,1.727,37,1.687,34,1.683,34,1.675,34,1.659,34,1.661,34,1.673,34,1.645,34,1.683,34,1.665,33,1.646,33,1.7,37
Vietnam,Asia-Pacific,1.9,45,1.885,44,1.883,42,1.877,42,1.877,41,1.869,37,1.847,37,1.847,35,1.847,35,1.821,35,1.821,35,1.733,38
Romania,Europe,1.609,31,1.597,31,1.596,31,1.6,30,1.588,30,1.619,31,1.609,31,1.589,31,1.596,31,1.597,31,1.604,31,1.738,39
Taiwan,Asia-Pacific,1.7,42,1.71,38,1.679,38,1.702,38,1.757,38,1.783,38,1.746,38,1.749,38,1.773,38,1.806,38,1.8,38,1.743,40
Botswana,Africa,1.789,33,1.827,38,1.834,38,1.82,38,1.834,36,1.848,34,1.857,33,1.853,33,1.842,33,1.831,33,1.838,34,1.751,41
Ecuador,South America,1.879,56,1.927,57,1.906,57,1.873,49,1.873,50,1.873,52,1.87,51,1.791,51,1.8,51,1.81,57,1.838,55,1.757,42
Panama,Central America,1.788,53,1.78,50,1.792,50,1.838,50,1.838,50,1.804,50,1.852,50,1.838,51,1.839,50,1.812,55,1.843,53,1.758,43
Zambia,Africa,1.882,52,1.882,52,1.882,52,1.882,52,1.882,50,1.872,50,1.872,51,1.85,51,1.845,51,1.82,50,1.835,50,1.76,44
Uruguay,South America,1.62,34,1.692,35,1.641,35,1.641,35,1.645,35,1.654,35,1.673,35,1.647,35,1.66,35,1.662,34,1.659,34,1.762,45
Costa Rica,Central America,1.754,42,1.754,42,1.754,42,1.754,42,1.75,40,1.736,40,1.726,38,1.725,39,1.735,40,1.738,40,1.738,40,1.778,46
Chile,South America,1.621,27,1.653,28,1.625,28,1.639,28,1.644,28,1.638,28,1.641,27,1.641,27,1.649,28,1.672,32,1.644,28,1.786,47
Indonesia,Asia-Pacific,1.683,50,1.677,47,1.741,50,1.741,50,1.741,47,1.716,45,1.773,45,1.777,45,1.733,43,1.733,43,1.733,43,1.795,48
Paraguay,South America,1.854,54,1.836,54,1.863,54,1.879,54,1.87,50,1.897,52,1.889,52,1.87,51,1.872,51,1.879,52,1.876,55,1.804,49
Albania,Europe,1.806,55,1.748,53,1.74,53,1.717,45,1.727,48,1.757,48,1.752,48,1.762,49,1.761,50,1.774,50,1.758,48,1.806,50
The Gambia,Africa,1.739,41,1.727,41,1.793,44,1.839,44,1.805,41,1.748,41,1.787,41,1.827,41,1.821,44,1.793,41,1.735,41,1.82,51
Laos,Asia-Pacific,1.818,44,1.795,44,1.774,44,1.822,44,1.804,44,1.84,44,1.849,44,1.848,44,1.845,44,1.838,44,1.838,44,1.82,52
Namibia,Africa,1.774,39,1.826,41,1.815,41,1.83,41,1.836,38,1.857,38,1.836,38,1.836,38,1.834,38,1.831,38,1.839,38,1.83,53
Kazakhstan,Central Asia,2.124,64,2.127,64,2.099,64,2.1,64,2.007,64,1.901,64,1.893,64,1.869,64,1.836,64,1.849,64,1.858,64,1.842,54
Argentina,South America,1.84,46,1.876,46,1.855,46,1.9,46,1.907,46,1.882,46,1.872,46,1.869,46,1.874,47,1.846,47,1.857,47,1.861,55
Ghana,Africa,1.748,42,1.763,42,1.778,42,1.831,42,1.828,42,1.799,42,1.831,42,1.861,43,1.824,43,1.829,43,1.856,43,1.881,56
Senegal,Africa,1.832,53,1.829,52,1.832,52,1.803,52,1.877,52,1.881,52,1.886,52,1.891,52,1.853,52,1.871,52,1.887,52,1.884,57
Libya,Middle East,2.8,130,3.02,145,3.12,149,2.914,140,2.913,136,2.912,136,2.77,130,2.739,127,2.687,120,2.667,116,2.664,117,1.891,58
Tanzania,Africa,1.875,62,1.878,60,1.865,58,1.893,59,1.876,59,1.895,59,1.906,59,1.897,58,1.882,58,1.876,58,1.876,58,1.891,59
Timor-Leste,Asia-Pacific,2.083,63,2.083,63,2.083,63,2.083,63,2.011,61,1.961,61,1.958,61,1.942,61,1.914,61,1.924,62,1.924,62,1.893,60
Sierra Leone,Africa,1.843,55,1.882,55,1.886,55,1.879,55,1.855,55,1.872,55,1.888,55,1.892,56,1.883,56,1.873,56,1.882,56,1.9,61
Jordan,Middle East,2.049,65,1.979,56,1.973,57,1.979,57,1.979,57,1.953,56,1.959,57,1.959,57,1.955,57,1.945,57,1.904,57,1.908,62
Mozambique,Africa,1.938,62,1.978,62,1.995,62,2.024,63,2.024,63,2.005,62,1.975,62,1.975,62,2.006,63,1.956,62,1.977,63,1.913,63
Moldova,Europe,2.038,67,2.075,67,2.084,67,2.083,67,2.058,67,2.05,67,2.044,67,2.032,68,1.986,63,1.993,64,1.953,63,1.92,64
Benin,Africa,1.809,48,1.818,48,1.848,48,1.843,48,1.858,48,1.862,48,1.855,48,1.862,48,1.878,50,1.887,50,1.882,50,1.93,65
Rwanda,Africa,2.048,62,2.025,62,2.025,62,2.001,62,2.02,62,2.004,63,1.977,63,1.979,63,1.966,63,1.939,63,1.949,64,1.933,66
Morocco,Middle East,2.032,62,2.027,62,2.026,62,2.024,62,2.023,62,2.019,62,2.025,63,2.025,63,2.018,63,2.008,63,2.015,63,1.942,67
Peru,South America,1.988,62,1.979,62,1.991,62,1.989,62,1.959,62,1.96,62,1.97,63,1.966,64,1.985,63,1.955,63,1.965,64,1.945,68
Ukraine,Europe,2.218,87,2.455,96,2.584,107,2.534,106,2.542,103,2.628,107,2.636,107,2.663,108,2.893,116,3.043,150,3.28,162,3.434,162
Russia,Europe,2.365,99,2.372,99,2.365,99,2.494,107,2.494,107,2.773,117,2.773,117,2.993,154,3.307,155,3.526,157,3.249,163,3.441,163
United States,North America,2.058,101,2.07,94,2.072,103,2.096,114,2.096,121,2.153,128,2.153,128,2.249,122,2.449,129,2.44,131,2.452,132,2.484,128
China,Asia-Pacific,2.05,100,2.049,100,2.06,120,2.029,116,1.926,110,1.926,110,1.926,110,1.884,100,1.884,88,1.887,84,1.869,80,1.921,73
India,South Asia,2.291,143,2.504,143,2.504,141,2.453,137,2.504,136,2.504,141,2.504,139,2.504,135,2.449,135,2.314,126,2.256,116,2.229,115
Pakistan,South Asia,3.049,154,3.049,154,3.049,154,3.093,154,3.093,154,3.093,154,3.093,153,2.993,154,2.993,153,2.915,144,2.975,152,2.91,144
Afghanistan,South Asia,3.252,162,3.427,162,3.427,163,3.527,163,3.585,163,3.574,163,3.631,163,3.631,163,3.554,163,3.448,163,3.448,163,3.229,158
Syria,Middle East,3.357,163,3.645,163,3.645,162,3.814,162,3.666,162,3.666,162,3.462,161,3.462,161,3.437,162,3.408,161,3.301,161,3.184,157
Yemen,Middle East,2.84,135,3.009,147,3.009,150,3.354,161,3.399,161,3.399,161,3.412,162,3.399,162,3.399,162,3.399,162,3.399,161,3.262,159
Somalia,Africa,3.307,162,3.307,163,3.307,163,3.307,162,3.307,162,3.232,162,3.124,161,3.211,161,3.141,161,3.135,160,3.085,160,3.039,161
South Sudan,Africa,3.207,160,3.207,162,3.207,162,3.403,160,3.403,162,3.403,160,3.363,159,3.363,160,3.363,160,3.295,155,3.133,159,3.117,156
Iraq,Middle East,3.246,159,3.246,159,3.246,160,3.349,158,3.291,156,3.152,154,3.057,154,3.057,152,2.999,153,2.901,153,2.901,154,2.997,154
Sri Lanka,South Asia,1.974,81,1.973,72,2.058,81,1.98,73,1.98,71,2.011,72,2.011,71,1.994,72,1.978,70,1.938,67,1.938,67,1.943,70
Brazil,South America,2.049,95,2.049,100,2.049,100,2.079,107,2.079,106,2.079,107,2.058,107,2.058,102,2.143,107,2.143,105,2.143,105,2.199,106
South Africa,Africa,2.214,121,2.237,121,2.224,121,2.296,125,2.249,125,2.249,125,2.298,125,2.298,125,2.298,125,2.298,125,2.298,125,2.298,124
Nigeria,Africa,2.967,151,2.967,151,2.967,151,2.967,151,2.967,151,2.967,151,2.967,151,2.967,151,2.967,151,2.967,151,2.967,151,2.967,145
North Korea,Asia-Pacific,3.079,153,3.079,153,3.087,153,3.087,153,3.055,150,3.055,150,3.04,150,3.04,150,3.02,148,3.02,148,3.02,148,3.06,150
Myanmar,Asia-Pacific,2.06,105,2.06,105,2.055,105,2.048,105,2.055,103,2.055,103,2.048,103,2.048,101,2.478,120,2.609,130,2.693,140,2.808,154
Israel,Middle East,2.85,149,2.85,149,2.85,148,2.85,148,2.85,147,2.85,147,2.85,148,2.85,147,2.85,152,2.85,152,3.008,152,3.108,155
Palestine,Middle East,3.109,156,3.109,156,3.109,156,3.109,156,3.109,155,3.109,155,3.109,155,3.109,155,3.109,155,3.109,155,3.099,155,3.052,145
Democratic Republic of Congo,Africa,3.156,156,3.156,157,3.156,156,3.091,155,3.091,156,3.052,156,3.042,157,3.042,156,2.989,153,2.973,152,3.154,158,3.292,160
Central African Republic,Africa,3.31,160,3.31,161,3.31,161,3.31,161,3.222,160,3.232,161,3.232,161,3.232,161,3.174,160,3.14,159,3.204,160,3.036,151
Mali,Africa,2.805,136,2.805,137,2.805,137,2.805,137,2.805,140,2.805,140,2.805,140,2.805,140,2.805,140,2.805,140,2.805,140,3.061,148
Sudan,Africa,3.257,157,3.257,158,3.257,158,3.257,158,3.257,158,3.257,158,3.257,158,3.257,158,3.257,158,3.257,158,3.327,159,3.323,161
Bangladesh,South Asia,2.186,107,2.241,107,2.213,107,2.196,107,2.217,104,2.208,101,2.214,101,2.211,98,2.238,91,2.248,90,2.26,92,2.531,123
Nepal,South Asia,1.979,62,2.033,62,2.089,62,2.089,62,2.089,62,2.109,62,2.068,62,2.054,62,2.054,62,2.025,62,2.025,62,2.055,78
Iran,Middle East,2.411,107,2.44,112,2.424,112,2.402,110,2.396,110,2.419,108,2.434,109,2.354,108,2.33,108,2.327,109,2.33,113,2.447,130
Egypt,Middle East,2.448,125,2.459,125,2.459,125,2.427,125,2.427,126,2.427,127,2.393,125,2.393,124,2.393,125,2.393,125,2.393,125,2.393,107
Turkey,Middle East,2.356,105,2.343,103,2.343,103,2.354,107,2.384,111,2.384,112,2.469,113,2.469,112,2.469,112,2.469,109,2.469,109,2.468,122
Venezuela,South America,2.352,87,2.352,87,2.352,87,2.352,87,2.352,87,2.352,87,2.352,87,2.352,87,2.552,97,2.552,97,2.552,97,2.57,100
Mexico,Central America,2.571,130,2.571,130,2.571,130,2.679,140,2.679,140,2.679,140,2.679,140,2.679,137,2.679,137,2.71,137,2.71,136,2.68,135
