Year,Month,International_Arrivals_Millions,YoY_Change_Pct,Tourism_Receipts_USD_Billion,Global_Travel_Demand_Index_2019=100,Key_Events_Notes
2014,January,87.5,4.8,97.2,59.2,Strong growth; Americas led +8%
2014,February,80.2,5.1,89.1,54.3,Steady growth; geopolitical tensions (Crimea)
2014,March,92.4,4.9,102.7,62.5,Inter-season pick-up
2014,April,105.6,5.2,117.3,71.4,Spring travel surge
2014,May,112.8,5,125.4,76.3,Pre-summer rise
2014,June,128.5,4.7,142.8,86.9,Northern hemisphere summer begins
2014,July,148.2,4.9,164.7,100.2,Peak summer; school holidays
2014,August,152.4,5.1,169.3,103.1,Peak month globally
2014,September,118.6,4.6,131.8,80.2,Post-summer; Ebola outbreak concern
2014,October,110.3,4.3,122.6,74.6,Autumn travel; Ebola dampens some demand
2014,November,95.2,4.1,105.8,64.4,Off-peak; Ebola concern
2014,December,105.8,4.4,117.6,71.6,Christmas/New Year travel; annual total ~1135M
2015,January,90.1,3,99.1,60.9,Paris attacks concern; currency volatility
2015,February,82.5,2.9,90.7,55.8,Moderate growth
2015,March,95.2,3,104.7,64.4,Steady growth
2015,April,108.6,2.8,119.5,73.4,Spring surge
2015,May,115.4,2.3,126.9,78,Below prior growth; EUR weak
2015,June,131.8,2.6,144.9,89.2,Summer onset
2015,July,152,2.6,167.1,102.8,Peak summer
2015,August,156.2,2.5,171.8,105.6,Peak month
2015,September,121.5,2.4,133.7,82.2,Post-summer
2015,October,113.4,2.8,124.7,76.7,Autumn; Paris attacks Nov dampens end-year
2015,November,96.8,1.7,106.5,65.5,Paris attacks (13 Nov) hit Nov/Dec demand
2015,December,107,1.1,118.7,72.4,Christmas travel; subdued post-Paris; annual total ~1186M
2016,January,91.8,1.9,100.8,62.1,Moderate growth; terrorism fears persist
2016,February,84.2,2.1,92.6,57,Steady
2016,March,97.5,2.4,107.2,66,Spring pick-up
2016,April,111,2.2,122,75.1,Spring surge; Brussels attack impact (March)
2016,May,118.2,2.4,129.9,79.9,Pre-summer
2016,June,134.6,2.1,147.9,91,Summer begins; Brexit vote June 23 (minor immediate impact)
2016,July,155.2,2.1,170.5,105,Peak summer
2016,August,159.5,2.1,175.4,107.9,Peak month
2016,September,123.8,1.9,136.1,83.7,Post-summer
2016,October,115.5,1.9,127,78.1,Autumn; Nice attacks July prior impact fading
2016,November,98.8,2.1,108.7,66.8,Off-peak
2016,December,108.9,1.8,119.8,73.7,Christmas; annual total ~1235M
2017,January,96.5,5.1,106.1,65.3,Strong rebound; confidence recovering
2017,February,88.5,5.1,97.4,59.8,Strong growth
2017,March,102.1,4.7,112.3,69.1,Spring surge
2017,April,116.8,5.2,128.5,79,Strong spring
2017,May,124.5,5.3,136.9,84.2,Pre-summer
2017,June,141.8,5.3,155.9,95.9,Summer; strongest growth in years
2017,July,163,5,179.3,110.2,Peak summer
2017,August,167.5,5,184.2,113.3,Peak month; record year building
2017,September,130.2,5.2,143.2,88,Post-summer
2017,October,121.5,5.2,133.6,82.2,Strong autumn
2017,November,104.2,5.5,114.6,70.5,Good off-peak
2017,December,114.4,5.1,125.8,77.4,Christmas; annual total ~1323M (+7% record)
2018,January,100.5,4.1,110.5,68,Continued growth; global economy strong
2018,February,92.2,4.2,101.4,62.4,Steady
2018,March,106.5,4.3,117.2,72.1,Spring pickup
2018,April,121.5,4,133.6,82.2,Spring surge
2018,May,129.5,4,142.4,87.6,Pre-summer
2018,June,147.5,4,162.2,99.8,Summer season; FIFA World Cup boosts Russia
2018,July,169.8,4.2,186.8,114.8,Peak summer; FIFA boost
2018,August,174.5,4.2,191.9,118,Peak month; record
2018,September,135.5,4.1,149,91.6,Post-summer
2018,October,126.5,4.1,139.2,85.6,Strong autumn
2018,November,108.2,3.8,119,73.2,Yellow vest protests France (Nov)
2018,December,119.2,4.2,131.1,80.7,Christmas; annual total ~1401M (+6%)
2019,January,104.5,4,114,70.7,Pre-COVID peak era
2019,February,95.8,3.9,105.4,64.8,Steady growth
2019,March,110.5,3.8,121.5,74.8,Spring pickup
2019,April,126.5,4.1,139.1,85.6,Spring surge; Notre Dame fire minimal tourism impact
2019,May,134.8,4.1,148.2,91.2,Pre-summer
2019,June,153.5,4.1,168.8,103.8,Summer; Thomas Cook collapse later
2019,July,176.5,3.9,194.2,119.4,Peak summer (reference baseline)
2019,August,181.5,4,199.7,122.8,Peak month; pre-pandemic record
2019,September,141.2,4.2,155.3,95.5,Post-summer
2019,October,131.5,4,144.7,89,Autumn; Thomas Cook collapse Sept impact
2019,November,112.5,4,123.8,76.1,Off-peak
2019,December,123.7,3.8,136,83.7,Christmas; annual total ~1470M (+4%)
2020,January,105.2,0.7,114.5,71.1,COVID-19 emerging in China; limited global impact Jan
2020,February,62.5,-34.8,67.1,42.3,COVID-19 spreading; WHO emergency declared; Asia collapses
2020,March,22.5,-79.6,23.8,15.2,Global lockdowns begin; borders close worldwide
2020,April,4.8,-96.2,4.9,3.2,Near-total shutdown; worst month in modern tourism history
2020,May,6.5,-95.2,6.8,4.4,Continued lockdowns; some easing begins
2020,June,18.5,-87.9,19.4,12.5,Partial reopening; intra-European bubbles
2020,July,38.5,-78.2,40.5,26,Summer reopening; Schengen area partially open
2020,August,52.5,-71.1,55.2,35.5,Best pandemic month; EU summer tourism
2020,September,32.5,-77,34.2,22,Second wave fears; restrictions tighten
2020,October,18.5,-85.9,19.4,12.5,Second wave lockdowns Europe
2020,November,10.5,-90.7,11,7.1,Second wave peak; strict lockdowns
2020,December,14.5,-88.3,15.2,9.8,Christmas restrictions; annual total ~408M (-72%)
2021,January,9.5,-91,9.8,6.4,Third wave; vaccines starting but scarce
2021,February,11.5,-81.6,12,7.8,Slow vaccine rollout; restrictions maintained
2021,March,15.5,-31.1,16.2,10.5,Vaccine rollout; some hope; variants (Alpha/Beta)
2021,April,20.5,-327.1,21.5,13.9,India Delta wave begins; minimal travel
2021,May,28.5,-338.5,30,19.3,Vaccine passports emerging; EU travel recovering
2021,June,42.5,129.7,44.6,28.7,EU Green Certificate; summer recovery begins
2021,July,68.5,78,71.9,46.3,Summer 2021 recovery; Delta variant concern
2021,August,78.5,49.5,82.4,53.1,Best pandemic summer; still -57% vs 2019
2021,September,52.5,61.5,55.1,35.5,Post-summer; booster campaigns
2021,October,42.5,129.7,44.6,28.7,Autumn recovery; US reopens Nov
2021,November,35.5,238.1,37.2,24,Omicron variant detected Nov 24; immediate dampening
2021,December,45.5,213.8,47.7,30.8,Omicron spread; some cancellations; annual total ~461M (+13%)
2022,January,38.5,305.3,40.4,26,Omicron peak; high cases but milder; travel rebounds quickly
2022,February,52.5,356.5,55.1,35.5,Russia invades Ukraine Feb 24; Eastern Europe collapses
2022,March,72.5,367.7,76.1,49,Ukraine war ongoing; energy prices spike; travel recovering
2022,April,92.5,351.2,97.1,62.5,Spring rebound; pent-up demand unleashed
2022,May,112.5,294.7,118.1,76.1,Strong recovery; still 20% below 2019
2022,June,132.5,211.8,139.1,89.6,Strong summer build-up
2022,July,152.5,122.6,160.1,103.1,Near pre-pandemic summer levels
2022,August,158.5,101.9,166.4,107.2,Strong recovery summer peak
2022,September,118.5,125.7,124.4,80.2,Post-summer strong recovery
2022,October,108.5,155.3,113.9,73.4,Autumn; 66% of 2019 for full year Jan-Jul
2022,November,88.5,149.3,92.9,59.8,Off-peak; energy crisis Europe
2022,December,96.5,112.1,101.3,65.3,Christmas; annual total ~976M (+60%; still -34% vs 2019)
2023,January,88.5,130,94.1,59.8,Strong recovery; China reopens Jan 8
2023,February,92.5,76.2,98.4,62.5,China outbound resuming; strong global demand
2023,March,108.5,49.7,115.4,73.4,Spring surge; 80% of 2019 levels globally
2023,April,128.5,38.9,136.7,86.9,Solid spring; Middle East +120% vs 2019
2023,May,138.5,23.1,147.4,93.7,Pre-summer; Europe exceeding 2019
2023,June,155.5,17.4,165.5,105.2,Summer; Europe above 2019
2023,July,178.5,17,190,120.7,Strong peak summer; Asia recovery underway
2023,August,182.5,15.1,194.2,123.5,Peak month; 89% of 2019 globally
2023,September,142.5,20.3,151.7,96.4,Post-summer strong
2023,October,132.5,22.1,141,89.6,Oct 7 Hamas attack; Middle East concerns
2023,November,108.5,22.6,115.4,73.4,Gaza conflict dampens Middle East; global holds
2023,December,118.5,22.8,126.1,80.2,Christmas; annual total ~1310M (+34%; 89% of 2019)
2024,January,98.5,11.3,104.8,66.7,Strong start; Middle East conflict ongoing
2024,February,102.5,10.8,109.1,69.4,Solid growth; Asia-Pacific recovery
2024,March,118.5,9.2,126.1,80.2,97% of 2019 levels Q1 2024
2024,April,138.5,7.8,147.4,93.7,Spring surge; pre-pandemic levels approached
2024,May,148.5,7.2,158.1,100.5,Pre-summer; Paris Olympics prep boosts France
2024,June,165.5,6.4,176.2,112,Summer; Paris Olympics effect; 98% of 2019
2024,July,185.5,3.9,197.5,125.5,Peak summer; record levels; Paris Olympics
2024,August,190.5,4.4,202.8,128.9,Paris Olympics; record August globally
2024,September,148.5,4.2,158.1,100.5,Post-summer; strong momentum
2024,October,138.5,4.5,147.4,93.7,Strong autumn; Asia-Pacific full recovery
2024,November,112.5,3.7,119.7,76.1,Off-peak; solid growth
2024,December,122.5,3.4,130.4,82.9,Christmas; annual total ~1400M (+7%; 99% of 2019)
2025,January,103.5,5.1,110.2,70,1.52B forecast for year; record projected
2025,February,107.8,5.2,114.7,72.9,Strong growth; +5% vs 2024 Q1
2025,March,123.5,4.2,131.5,83.5,+5% Q1 2025; 4% above pre-pandemic
2025,April,144.5,4.3,153.8,97.8,Solid spring; +5% H1 2025
2025,May,155.2,4.5,165.2,105,Pre-summer; strong demand
2025,June,173.5,4.8,184.7,117.4,Summer builds; above pre-pandemic
2025,July,194.8,5,207.4,131.8,Peak summer; record year
2025,August,200.5,5.2,213.4,135.6,Record peak month; 1.52B annual total confirmed
2025,September,156.2,5.2,166.3,105.7,Post-summer strong
2025,October,145.8,5.3,155.2,98.7,Strong autumn
2025,November,118.5,5.3,126.1,80.2,Off-peak solid
2025,December,128.7,5.1,137,87.1,Christmas; annual total ~1520M (new record; +5%)
2026,January,106.8,3.2,113.7,72.3,Q1 +2% vs 2025 (UNWTO confirmed); Middle East conflict impact
2026,February,110.5,2.5,117.6,74.8,Sustained demand +2.5% Jan-Feb cumulative
2026,March,125.5,1.6,133.6,84.9,Middle East conflict dampens March (+0.4% only); 307M Q1 total
2026,April,148,2.4,157.5,100.2,Estimated; spring recovery
2026,May,158.5,2.1,168.8,107.2,Estimated; pre-summer demand
