date,arrivals
2014-01,146575
2014-02,141878
2014-03,133048
2014-04,112631
2014-05,90046
2014-06,103175
2014-07,133971
2014-08,140319
2014-09,105535
2014-10,121576
2014-11,119727
2014-12,178672
2015-01,156246
2015-02,165541
2015-03,157051
2015-04,122217
2015-05,113529
2015-06,115467
2015-07,175804
2015-08,166610
2015-09,143374
2015-10,132280
2015-11,144147
2015-12,206114
2016-01,194280
2016-02,197697
2016-03,192841
2016-04,136367
2016-05,125044
2016-06,118038
2016-07,209351
2016-08,186288
2016-09,148499
2016-10,150419
2016-11,167217
2016-12,224791
2017-01,219360
2017-02,197517
2017-03,188076
2017-04,160249
2017-05,121891
2017-06,123351
2017-07,205482
2017-08,190928
2017-09,145077
2017-10,152429
2017-11,167511
2017-12,244536
2018-01,238924
2018-02,235618
2018-03,233382
2018-04,180429
2018-05,129466
2018-06,146828
2018-07,217829
2018-08,200359
2018-09,149087
2018-10,153123
2018-11,195582
2018-12,253169
2019-01,244239
2019-02,252033
2019-03,244328
2019-04,166975
2019-05,37802
2019-06,63072
2019-07,115701
2019-08,143587
2019-09,108575
2019-10,118743
2019-11,176984
2019-12,241663
2020-01,228434
2020-02,207507
2020-03,71370
2020-04,
2020-05,
2020-06,
2020-07,
2020-08,
2020-09,
2020-10,
2020-11,
2020-12,393
2021-01,1682
2021-02,3366
2021-03,4581
2021-04,4168
2021-05,1497
2021-06,1614
2021-07,2429
2021-08,5040
2021-09,13547
2021-10,22771
2021-11,44294
2021-12,89506
2022-01,82327
2022-02,96507
2022-03,106500
2022-04,62980
2022-05,30207
2022-06,32856
2022-07,47293
2022-08,37760
2022-09,29802
2022-10,42026
2022-11,59759
2022-12,91961
2023-01,102545
2023-02,107639
2023-03,125495
2023-04,105498
2023-05,83309
2023-06,100388
2023-07,143039
2023-08,136405
2023-09,111938
2023-10,109199
2023-11,151496
2023-12,210352
2024-01,208253
2024-02,218350
2024-03,209181
2024-04,148867
2024-05,112128
2024-06,113470
2024-07,187810
2024-08,164609
2024-09,122140
2024-10,135907
2024-11,184158
2024-12,248592
2025-01,252761
2025-02,240217
2025-03,229298
2025-04,174608
2025-05,132919
2025-06,138241
2025-07,200244
2025-08,198235
2025-09,158971
2025-10,165193
2025-11,212906
2025-12,258928
