Year,Month,USD_to_LKR_Avg
2014,January,130.71
2014,February,130.8
2014,March,130.63
2014,April,130.62
2014,May,130.43
2014,June,130.27
2014,July,130.23
2014,August,130.19
2014,September,130.24
2014,October,130.56
2014,November,130.96
2014,December,131.19
2015,January,131.62
2015,February,132.79
2015,March,132.99
2015,April,132.9
2015,May,133.47
2015,June,133.97
2015,July,133.68
2015,August,133.94
2015,September,139.07
2015,October,140.77
2015,November,142.04
2015,December,143.25
2016,January,144.05
2016,February,144.08
2016,March,145.47
2016,April,145.56
2016,May,146.4
2016,June,146.14
2016,July,145.83
2016,August,145.56
2016,September,145.67
2016,October,146.86
2016,November,148.08
2016,December,148.87
2017,January,149.82
2017,February,150.89
2017,March,151.8
2017,April,152.05
2017,May,152.59
2017,June,152.83
2017,July,153.64
2017,August,153.19
2017,September,152.84
2017,October,153.49
2017,November,153.58
2017,December,153.19
2018,January,153.78
2018,February,154.79
2018,March,155.67
2018,April,156.24
2018,May,157.89
2018,June,159.05
2018,July,159.38
2018,August,160.3
2018,September,164.86
2018,October,171.12
2018,November,175.94
2018,December,180.22
2019,January,182.03
2019,February,178.51
2019,March,178.32
2019,April,174.81
2019,May,176.38
2019,June,176.56
2019,July,176.1
2019,August,177.92
2019,September,180.78
2019,October,181.4
2019,November,180.49
2019,December,181.19
2020,January,181.42
2020,February,181.56
2020,March,184.63
2020,April,191.71
2020,May,187.55
2020,June,185.87
2020,July,185.84
2020,August,185.02
2020,September,185.02
2020,October,184.45
2020,November,184.87
2020,December,187.25
2021,January,191.23
2021,February,194.41
2021,March,197.11
2021,April,197.29
2021,May,197.16
2021,June,198.4
2021,July,199.25
2021,August,199.6
2021,September,199.74
2021,October,200.72
2021,November,202.04
2021,December,202.49
2022,January,202.52
2022,February,202.35
2022,March,251.66
2022,April,321.46
2022,May,360.07
2022,June,359.62
2022,July,360.32
2022,August,360.39
2022,September,362.02
2022,October,365.48
2022,November,366.98
2022,December,366.74
2023,January,365.69
2023,February,365.11
2023,March,332.8
2023,April,322.64
2023,May,310.17
2023,June,302.15
2023,July,319.53
2023,August,321.73
2023,September,323.06
2023,October,325.03
2023,November,328.16
2023,December,326.65
2024,January,321.01
2024,February,312.26
2024,March,305.27
2024,April,299.08
2024,May,299.45
2024,June,303.81
2024,July,303.61
2024,August,300.37
2024,September,300.94
2024,October,293.53
2024,November,292.16
2024,December,291.56
2025,January,295.76
2025,February,296.89
2025,March,295.86
2025,April,297.96
2025,May,299.36
2025,June,299.72
2025,July,300.95
2025,August,301.16
2025,September,302.03
2025,October,302.97
2025,November,306.06
2025,December,308.99
